scope,sheet,row_number,machine_code,product_text,agiz_mm,gramaj_gr,raw_F,raw_G,raw_J,raw_K,raw_L,numeric_J,numeric_K,numeric_L,parse_status
schema_match_best_sheet,PROSES ENJEKSİYON,52,501,EBM0021-05 350ML OPAK SEDEFLI MOR 24MM YIVLI 28GR,24,28,501,EBM0021-05 350ML OPAK SEDEFLI MOR 24MM YIVLI 28GR,6,,15.62,6,,15.62,ok
schema_match_best_sheet,PROSES ENJEKSİYON,53,102,PET0016-01 1500ML SEFFAF SEFFAF 28MM YIVLI 52GR,28,52,102, PET0016-01 1500ML SEFFAF SEFFAF 28MM YIVLI 52GR,5,4,18.73,5,4,18.73,ok
schema_match_best_sheet,PROSES ENJEKSİYON,54,103,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR,28,40,103, PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR,5,5,15.87,5,5,15.87,ok
schema_match_best_sheet,PROSES ENJEKSİYON,55,104,PET0166-02 400ML SEFFAF SEFFAF 28MM YIVLI 25GR,28,25,104, PET0166-02 400ML SEFFAF SEFFAF 28MM YIVLI 25GR,6,6,12.63,6,6,12.63,ok
schema_match_best_sheet,PROSES ENJEKSİYON,56,161,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR,38,47,161,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR,6,6,22.51,6,6,22.51,ok
schema_match_best_sheet,PROSES ENJEKSİYON,57,171,PET0185-01 500ML SEFFAF SEFFAF 100MM YIVLI 45GR,100,45,171,PET0185-01 500ML SEFFAF SEFFAF 100MM YIVLI 45GR,3,3,14.78,3,3,14.78,ok
schema_match_best_sheet,PROSES ENJEKSİYON,58,172,PET0057-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR,28,45,172,PET0057-01 1000ML SEFFAF SEFFAF 28MM YIVLI 45GR,4,4,16.64,4,4,16.64,ok
schema_match_best_sheet,PROSES ENJEKSİYON,59,173,PET0019-01 650ML SEFFAF UV 28MM CAKMA 40GR,28,40,173,PET0019-01 650ML SEFFAF UV 28MM CAKMA 40GR,5,5,17.82,5,5,17.82,ok
schema_match_best_sheet,PROSES ENJEKSİYON,60,174,PET0239-01 1000ML SEFFAF SEFFAF 110MM YIVLI 95GR,110,95,174,PET0239-01 1000ML SEFFAF SEFFAF 110MM YIVLI 95GR,3,3,18.17,3,3,18.17,ok
schema_match_best_sheet,PROSES ENJEKSİYON,61,176,PET0015-06 1000ML OPAK SEDEFLI MOR 28MM YIVLI 52GR,28,52,176,PET0015-06 1000ML OPAK SEDEFLI MOR 28MM YIVLI 52GR,5,5,18.63,5,5,18.63,ok
schema_match_best_sheet,PROSES ENJEKSİYON,62,177,PET0015-03 1000ML OPAK BEYAZ 28MM YIVLI 52GR,28,52,177,PET0015-03 1000ML OPAK BEYAZ 28MM YIVLI 52GR,4,4,18.43,4,4,18.43,ok
schema_match_best_sheet,PROSES ENJEKSİYON,63,131,PET0110-01 100ML SEFFAF TURUNCU 24MM YIVLI 25GR,24,25,131,PET0110-01 100ML SEFFAF TURUNCU 24MM YIVLI 25GR,3,3,20.27,3,3,20.27,ok
schema_match_best_sheet,PROSES ENJEKSİYON,64,132,PET0035-01 400ML SEFFAF SEFFAF 24MM YIVLI 29GR,24,29,132,PET0035-01 400ML SEFFAF SEFFAF 24MM YIVLI 29GR,3,3,20.67,3,3,20.67,ok
schema_match_best_sheet,PROSES ENJEKSİYON,65,134,PET0104-01 100ML OPAK BEYAZ 24MM YIVLI 16GR,24,16,134,PET0104-01 100ML OPAK BEYAZ 24MM YIVLI 16GR,3,3,15.27,3,3,15.27,ok
schema_match_best_sheet,PROSES ENJEKSİYON,66,135,PET0145-01 150ML SEFFAF KAHVE 38MM YIVLI 25GR,38,25,135,PET0145-01 150ML SEFFAF KAHVE 38MM YIVLI 25GR,2,2,19.89,2,2,19.89,ok
schema_match_best_sheet,PROSES ENJEKSİYON,67,138,PET0312-01 370ML SEFFAF SEFFAF 62MM YIVLI 26GR,62,26,138,PET0312-01 370ML SEFFAF SEFFAF 62MM YIVLI 26GR,3,3,12.61,3,3,12.61,ok
schema_match_best_sheet,PROSES ENJEKSİYON,68,102,PET0016-01 1500ML SEFFAF SEFFAF 28MM YIVLI 52GR,28,52,102, PET0016-01 1500ML SEFFAF SEFFAF 28MM YIVLI 52GR,5,4,18.73,5,4,18.73,ok
schema_match_best_sheet,PROSES ENJEKSİYON,69,103,PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR,28,40,103, PET0005-01 700ML SEFFAF SARI 28MM YIVLI 40GR,5,5,15.87,5,5,15.87,ok
schema_match_best_sheet,PROSES ENJEKSİYON,70,104,PET0166-02 400ML SEFFAF SEFFAF 28MM YIVLI 25GR,28,25,104, PET0166-02 400ML SEFFAF SEFFAF 28MM YIVLI 25GR,6,6,12.63,6,6,12.63,ok
schema_match_best_sheet,PROSES ENJEKSİYON,71,161,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR,38,47,161,PET0181-02 960ML OPAK SARI 38MM YIVLI 47GR,6,6,22.51,6,6,22.51,ok
schema_match_best_sheet,PROSES ENJEKSİYON,72,171,PET0185-01 500ML SEFFAF SEFFAF 100MM YIVLI 45GR,100,45,171,PET0185-01 500ML SEFFAF SEFFAF 100MM YIVLI 45GR,3,3,14.78,3,3,14.78,ok
